feature,importance_mean,importance_std
vehicle_age,865.2484051548014,63.62951843419242
year_num,732.6335047933362,45.838844603876744
mileage_num,661.2285303054114,46.11217759037358
make,495.02267829640095,96.76943691755437
mileage_per_year,236.27076132851343,37.16397900502943
scrape_hour,11.730449997381038,35.607041819044326
location_zip_num,0.0,0.0
mpg_highway_num,0.0,0.0
car_age_at_listing,0.0,0.0
mpg_avg,0.0,0.0
is_clean_title,0.0,0.0
engine_liters,0.0,0.0
scrape_dow,0.0,0.0
has_dealer,0.0,0.0
scrape_month,0.0,0.0
mpg_city_num,0.0,0.0
color,0.0,0.0
posted_month,0.0,0.0
posted_dow,0.0,0.0
model,0.0,0.0
series,0.0,0.0
transmission,0.0,0.0
fuel,0.0,0.0
body_type,0.0,0.0
engine,0.0,0.0
title_status,0.0,0.0
condition,0.0,0.0
drivetrain,0.0,0.0
location_state,0.0,0.0
location_city,0.0,0.0
dealer_name,0.0,0.0
is_automatic,-1.4490854418776506,1.9740749261413764
