feature,importance_mean,importance_std
year,1496.394774724492,100.1105588862117
mileage,1211.729150848874,102.13348120596015
make,693.6312848209,89.28844835495815
model,692.6956433046162,30.45465819542438
mileage_per_year,377.3858019236359,44.07070201270381
days_since_posted,0.0,0.0
engine_cylinders,0.0,0.0
engine_liters,0.0,0.0
engine_cylinders_missing,0.0,0.0
engine_liters_missing,0.0,0.0
days_since_posted_missing,0.0,0.0
transmission,0.0,0.0
fuel,0.0,0.0
condition,0.0,0.0
body_type,0.0,0.0
state,0.0,0.0
